Gene,Pathways,Complexes
TIMM21,,Complex I;Complex IV
CMC2,,Complex I;Complex IV
COX6A1,,Complex I;Complex IV
COX5B,,Complex I;Complex IV
TACO1,,Complex I;Complex IV
COX7A1,,Complex I;Complex IV
UQCRFS1,,Complex I;Complex III;Complex II
UQCRH,,Complex I;Complex III;Complex II
CYC1,,Complex I;Complex III;Complex II
COX5A,,Complex I;Complex IV
COX8A,,Complex I;Complex IV
COX19,,Complex I;Complex IV
COA3,,Complex I;Complex IV
MT-CO3,,Complex I;Complex IV
COA6,,Complex I;Complex IV
COX7A2,,Complex I;Complex IV
SDHD,,Complex I;Complex II
COX7A2L,,Complex I;Complex IV
UQCRQ,,Complex I;Complex III;Complex II
PET100,,Complex I;Complex IV
UQCC2,,Complex I;Complex III;Complex II
COX6C,,Complex I;Complex IV
UQCC3,,Complex I;Complex III;Complex II
COX7B,,Complex I;Complex IV
COA4,,Complex I;Complex IV
UQCR11,,Complex I;Complex III;Complex II
COX7C,,Complex I;Complex IV
UQCRB,,Complex I;Complex III;Complex II
CAMK2G,Necroptosis,
IFNGR1,Necroptosis,
ITPR2,Apoptosis,
CAMK2B,Necroptosis,
CAMKK2,Autophagy,
PRKAA2,Autophagy,
TANK,Autophagy,
RBCK1,Necroptosis,
TNFAIP3,Necroptosis,
TRAF1,Apoptosis,
PRKCQ,Autophagy,
DAPK3,Autophagy,
DAPK1,Autophagy,
PARP4,Apoptosis,
STAT4,Necroptosis,
CD14,,Complex I
CEP89,,Complex I;Complex IV
RAB8A,Autophagy,
CHMP2A,Pyroptosis;Necroptosis,
CMC1,,Complex I;Complex IV
COX14,,Complex I;Complex IV
PET117,,Complex I;Complex IV
MT-ND4,,Complex I
SMIM20,,Complex I;Complex IV
PNKD,,Complex I;Complex IV
TMEM177,,Complex I;Complex IV
COX18,,Complex I;Complex IV
HIGD1A,,Complex I;Complex IV
COX20,,Complex I;Complex IV
CTSH,Apoptosis,
CTSC,Apoptosis,
VAMP8,Autophagy,
DEPTOR,Autophagy,
DUSP16,,
TMEM126A,,Complex I
GLUD2,Necroptosis,
SPATA2,Necroptosis,
PLA2G4A,Necroptosis,
LYRM2,,Complex I
RRAS,Autophagy,
MRAS,Autophagy,
MR1,,Complex I;Complex IV
TYMP,,Complex I;Complex IV
RAB39B,Autophagy,
SLC39A14,Ferroptosis,
