Gene,Pathways,Complexes
UQCRH,,Complex III;Complex II;Complex I
CYC1,,Complex III;Complex II;Complex I
COX5A,,Complex IV;Complex I
COX8A,,Complex IV;Complex I
COX19,,Complex IV;Complex I
COA3,,Complex IV;Complex I
MT-CO3,,Complex IV;Complex I
COA6,,Complex IV;Complex I
COX7A2,,Complex IV;Complex I
COX7A2L,,Complex IV;Complex I
UQCRQ,,Complex III;Complex II;Complex I
PET100,,Complex IV;Complex I
UQCC2,,Complex III;Complex II;Complex I
COX6C,,Complex IV;Complex I
UQCC3,,Complex III;Complex II;Complex I
COX7B,,Complex IV;Complex I
COA4,,Complex IV;Complex I
UQCR11,,Complex III;Complex II;Complex I
COX7C,,Complex IV;Complex I
UQCRB,,Complex III;Complex II;Complex I
C9orf72,,
RAB39B,Autophagy,
CAMK2G,Necroptosis,
ITPR2,Apoptosis,
CAMK2B,Necroptosis,
PRKAA2,Autophagy,
RBCK1,Necroptosis,
TNFAIP3,Necroptosis,
JAK3,Necroptosis,
PARP4,Apoptosis,
TRAF5,Necroptosis,
CD14,,Complex I
CEP89,,Complex IV;Complex I
CHMP2A,Necroptosis;Pyroptosis,
CMC1,,Complex IV;Complex I
COX14,,Complex IV;Complex I
PET117,,Complex IV;Complex I
MT-ND4,,Complex I
SMIM20,,Complex IV;Complex I
PNKD,,Complex IV;Complex I
TMEM177,,Complex IV;Complex I
COX18,,Complex IV;Complex I
HIGD1A,,Complex IV;Complex I
COX20,,Complex IV;Complex I
VAMP8,Autophagy,
DUSP16,,
TMEM126A,,Complex I
GLUD2,Necroptosis,
SPATA2,Necroptosis,
LYRM2,,Complex I
MR1,,Complex IV;Complex I
TYMP,,Complex IV;Complex I
VMP1,Autophagy,
