Gene,Pathways,Complexes
TIMM21,,Complex IV;Complex I
CMC2,,Complex IV;Complex I
COX6A1,,Complex IV;Complex I
COX5B,,Complex IV;Complex I
TACO1,,Complex IV;Complex I
COX7A1,,Complex IV;Complex I
UQCRFS1,,Complex III;Complex II;Complex I
UQCRH,,Complex III;Complex II;Complex I
CYC1,,Complex III;Complex II;Complex I
COX5A,,Complex IV;Complex I
COX8A,,Complex IV;Complex I
COX19,,Complex IV;Complex I
COA3,,Complex IV;Complex I
MT-CO3,,Complex IV;Complex I
COA6,,Complex IV;Complex I
COX7A2,,Complex IV;Complex I
SDHD,,Complex II;Complex I
COX7A2L,,Complex IV;Complex I
UQCRQ,,Complex III;Complex II;Complex I
PET100,,Complex IV;Complex I
UQCC2,,Complex III;Complex II;Complex I
COX6C,,Complex IV;Complex I
UQCC3,,Complex III;Complex II;Complex I
COX7B,,Complex IV;Complex I
COA4,,Complex IV;Complex I
UQCR11,,Complex III;Complex II;Complex I
COX7C,,Complex IV;Complex I
UQCRB,,Complex III;Complex II;Complex I
CAMK2G,Necroptosis,
IFNGR1,Necroptosis,
ITPR2,Apoptosis,
CAMK2B,Necroptosis,
CAMKK2,Autophagy,
PRKAA2,Autophagy,
TANK,Autophagy,
RBCK1,Necroptosis,
TNFAIP3,Necroptosis,
TRAF1,Apoptosis,
PRKCQ,Autophagy,
DAPK3,Autophagy,
DAPK1,Autophagy,
PARP4,Apoptosis,
STAT4,Necroptosis,
CD14,,Complex I
CEP89,,Complex IV;Complex I
RAB8A,Autophagy,
CHMP2A,Necroptosis;Pyroptosis,
CMC1,,Complex IV;Complex I
COX14,,Complex IV;Complex I
PET117,,Complex IV;Complex I
MT-ND4,,Complex I
SMIM20,,Complex IV;Complex I
PNKD,,Complex IV;Complex I
TMEM177,,Complex IV;Complex I
COX18,,Complex IV;Complex I
HIGD1A,,Complex IV;Complex I
COX20,,Complex IV;Complex I
CTSH,Apoptosis,
CTSC,Apoptosis,
VAMP8,Autophagy,
DEPTOR,Autophagy,
DUSP16,,
TMEM126A,,Complex I
GLUD2,Necroptosis,
SPATA2,Necroptosis,
PLA2G4A,Necroptosis,
LYRM2,,Complex I
RRAS,Autophagy,
MRAS,Autophagy,
MR1,,Complex IV;Complex I
TYMP,,Complex IV;Complex I
RAB39B,Autophagy,
SLC39A14,Ferroptosis,
